SY,Date,Site,Plot,Species,Tag_num,Rep_status,Azimuth_degree,Dist_cm,DBH_cm,Mortality,Health,Condition,Fungus,Termites,Crew,Connect,Notes
2022,10/14/2021,Compass Point,B,RHMA ,,F,138,310,6.4,Alive,Healthy,H,No,No,,,Ants
2024,7/8/2024,STEER Fringe,B,RHMA ,R1184,,130,409,15.2,Dead,Dead,D,No,No,"AD, JC, SM",,
2022,10/14/2021,Compass Point,B,RHMA ,,NF,154,565,7.2,Alive,Unhealthy,U,No,No,,,Bark scars
2022,10/14/2021,Compass Point,B,RHMA ,,F,139,396,7.5,Alive,Healthy,H,No,No,,,
2022,10/14/2021,Compass Point,C,AVGE,,NF,155,454,2.6,Alive,Unhealthy,U,No,No,,,Lots of Herbivory
2022,10/14/2021,Compass Point,C,AVGE,,NF,160,561,3.1,Alive,Unhealthy,U,No,No,,,Lots of Herbivory
2022,10/14/2021,Compass Point,C,AVGE,,NF,240,147,3.2,Alive,Unhealthy,U,No,No,,,Lots of Herbivory
2022,10/14/2021,Compass Point,C,AVGE,,NF,160,562,4.2,Alive,Unhealthy,U,No,No,,,Lots of Herbivory
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,120,120,3.5,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,12,214,3.1,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2024,7/8/2024,STEER Fringe,B,LARA,R2005,NF,181,4.82,14,Dead,Dead,D,No,Yes,"DG, KG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,35,226,3.1,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,38,275,3.6,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,14,277,2.7,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2024,7/8/2024,STEER Fringe,B,LARA,R2009,ID,210,5.32,4.8,Dead,Dead,D,No,No,"DG, KG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,48,440,2.9,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,185,45,3,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,NF,37,520,2.5,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,51,333,4.4,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,187,89,3.5,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,67,450,2.9,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,"DBH @ 1.4M, PROP, ROOT ABOVE BUT TOO HIGH"
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,357,135,3.5,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,77,306,5,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,62,155,4,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,NF,103,165,2.5,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,93,565,3.3,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,"DBH @ 1.4M, PROP, ROOT ABOVE BUT TOO HIGH"
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,83,554,2.5,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,89,565,3,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,"DBH @ 14M, PROP, ROOT ABOVE BUT TOO HIGH"
2024,7/8/2024,STEER Fringe,B,RHMA ,R2027,,330,2.95,5.8,Dead,Dead,D,No,Yes,"DG, KG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,55,190,3.5,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,NF,91,216,2.5,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,95,356,2.8,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,79,309,2.6,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,79,315,3.1,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,NF,61,292,2.5,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,121,325,3.8,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2024,7/8/2024,STEER Fringe,B,RHMA ,R2037,,325,4.32,9.7,Dead,Dead,D,No,Yes,"DG, KG",connected to R-2038,
2024,7/8/2024,STEER Fringe,B,RHMA ,R2038,,335,5.11,6.5,Dead,Dead,D,No,Yes,"DG, KG",connected to R-2037,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,114,393,2.6,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,157,457,3.6,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,148,545,2.8,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,176,406,2.8,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,185,469,3.8,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,183,526,3,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,OUT OF SAME TRUNK as 39
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,183,540,2.6,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,182,530,2.9,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,"F, ID",186,500,3.3,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,207,416,2.6,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,NF,210,525,2.5,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,228,327,3.1,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,A,RHMA ,,F,232,207,3.4,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2024,7/8/2024,STEER Fringe,B,RHMA ,R2062,NF,209,2.72,8.8,Dead,Dead,D,No,No,"DG, KG",,crown snapped
2022,11/17/2022,Krause Lagoon,B,RHMA ,,NF,160,125,3.1,Alive,Unhealthy,U,No,No,"AND, AJH, HAS, KWG",,Herbivory
2022,11/17/2022,Krause Lagoon,B,RHMA ,,NF,161,173,2.5,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
2022,11/17/2022,Krause Lagoon,B,RHMA ,,NF,157,238,3.7,Alive,Unhealthy,U,No,No,"AND, AJH, HAS, KWG",,Herbivory
2024,7/8/2024,STEER Fringe,B,RHMA ,R2076,NF,131,5.2,13.3,Dead,Dead,D,No,No,"DG, KG",,
2022,11/17/2022,Krause Lagoon,B,RHMA ,,NF,142,354,4.8,Alive,Unhealthy,U,No,No,"AND, AJH, HAS, KWG",,Herbivory
2022,11/17/2022,Krause Lagoon,B,RHMA ,,NF,162,355,2.8,Alive,Unhealthy,U,No,No,"AND, AJH, HAS, KWG",,Herbivory
2022,11/17/2022,Krause Lagoon,B,RHMA ,,NF,161,352,2.5,Alive,Unhealthy,U,No,No,"AND, AJH, HAS, KWG",,"Herbivory, part dead"
2022,11/17/2022,Krause Lagoon,B,RHMA ,,NF,146,434,6,Alive,Unhealthy,U,No,No,"AND, AJH, HAS, KWG",,Herbivory
2022,11/17/2022,Krause Lagoon,B,RHMA ,,NF,146,437,2.7,Alive,Unhealthy,U,No,No,"AND, AJH, HAS, KWG",,Herbivory
2022,11/17/2022,Krause Lagoon,B,RHMA ,,NF,154,510,5.5,Alive,Unhealthy,U,No,No,"AND, AJH, HAS, KWG",,Herbivory
2022,11/17/2022,Krause Lagoon,B,RHMA ,,NF,157,551,2.6,Alive,Unhealthy,U,No,No,"AND, AJH, HAS, KWG",,Herbivory
2022,11/17/2022,Krause Lagoon,B,RHMA ,,NF,161,482,3.8,Alive,Healthy,H,No,No,"AND, AJH, HAS, KWG",,
