Objective,Sample_Year,Date,Site,Plot,Team,Status,Core_collected,Well_placed,Hobos_placed,Notes,
Summer Offloads,2023,7/7/2022,Compass Point,"A,B,C","AND, KH, MG",Offloads at A-C,N,N,N,tag teamed Miranda's trap cam work,
Summer Offloads,2023,7/14/2022,STEER Basin,"A,B,C","AND, KH, MG, KWG",Offloads at A-C,N,N,N,tag teamed Miranda's trap cam work,
Summer Offloads,2023,7/14/2022,Vessup Bay,"A,B,C","AND, KH, MG, KWG",Offloads at A-C,N,N,N,tag teamed Miranda's trap cam work,diatoms collected
Summer Offloads,2023,8/11/2022,Magens Bay,"A, B, C","AND, AJH",Offloads at A-C,N,N,N,"Plots A & B dry, no adjacent H2O to measure",diatoms collected
Summer Offloads,2023,8/18/2022,Brewers Bay,"A, B, C","AND, AJH",Offloads at A-C,N,N,N,,diatoms collected
Summer Offloads,2023,8/23/2022,Mandahl Bay,"A, B, C","AJH, AND, LP",Offloads at A-C,N,N,N,HOBO D lost,
Summer Offloads,2023,8/23/2022,STEER Fringe,"A, B, C","AJH, AND, LP",Offloads at A-C,N,N,N,,diatoms collected
Summer Offloads,2023,9/1/2022,Lameshur Bay,"A, B, C","AND, AJH, KH",Offloads at A-C,N,N,N,,
Summer Offloads,2023,9/1/2022,Princess Bay,"A, B, C","AND, AJH, KH",Offloads at A-C,N,N,N,,diatoms collected
Summer Offloads,2023,9/1/2022,Mary Creek,"A, B, C","AND, AJH, KH",Offloads at A-C,N,N,N,,diatoms collected
Summer Offloads,2023,9/2/2022,Reef Bay,"A, B, C","AND, KH, LU, JS",Offloads at A-C,N,N,N,,
Summer Offloads,2023,9/2/2022,Francis Bay,"A, B, C","AND, KH, LU, JS",Offloads at A-C,N,N,N,,
Summer Offloads,2023,9/2/2022,Turner Bay,"A, B, C","AND, KH, LU, JS",Offloads at A-C,N,N,N,,
Summer Offloads,2023,9/8/2022,Perseverance Bay,"A, B, C","AND, LU, LP",Offloads at A-C,N,N,N,,
Summer Offloads,2023,9/29/2022,Turner Bay,well logger swap,LU,only levellogger swap,N,N,N,,
"Fall Offloads, Year 2 Regen",2023,11/11/2022,Magens Bay,"A, B, C","AND, TNT, JP, KH","Offloads at A-C (YSI included), Regen at A-C",Y (n=2),N,N,,
"Fall Offloads, Year 2 Regen",2023,11/21/2022,Vessup Bay,"A, B, C","AND, JP, LP | AND, AJH, JS, LU","Offloads at A-C (no YSI), Regen at A-C | YSI at A-C","Y (n=2, 11/21/2023) ",N,N,,
"Fall Offloads, Year 2 Regen",2023,11/22/2022,Brewers Bay,"A, B, C","AND, LU, KH | AJH JS","Offloads at A-C (no YSI), Regen at A-C | YSI at A-C",N,N,N,,
"Fall Offloads, Year 2 Regen",2023,11/23/2022,Perseverance Bay,"A, B, C","AND, JP, LU, LP","Offloads at A-C (no YSI), Regen at A-C",Y (n=2),N,N,,
"Fall Offloads, Year 2 Regen",2023,11/23/2022,Compass Point,"A, B, C","AND, LU, KH | AND, AJH, JS, LU","Offloads at A-B (no YSI) | Regen at A-C, YSI at A-C","Y (n=2, 11/23/2022)",N,N,,
"Fall Offloads, Year 2 Regen",2023,1/12/2023,STEER Basin,"A, B, C","AND, KWG, JS, JP, KT, LU","Offloads at A-C (YSI included), Regen at A-C",Y (n=2),N,N,,
"Fall Offloads, Year 2 Regen",2023,1/12/2023,STEER Fringe,"A, B, C","AND, KWG, JS, JP, KT, LU","Offloads at A-C (YSI included), Regen at A-C",Y (n=3?),N,N,,
"Fall Offloads, Year 2 Regen",2023,1/23/2023,Water Creek,"A, B, C","AND, AJH, LU","Offloads at A-C (YSI included), Regen at A-C",N,N,N,,
Winter/ Spring Offloads 2022-2023,2023,1/23/2023,Water Creek,"A, B, C","AND, LU, AJH",Offloads at A-C,,,,,
"Fall Offloads, Year 2 Regen",2023,2/9/2023,Vessup Bay,"A, B, C","AND, JP, LP | AND, AJH, JS, LU","Offloads at A-C (no YSI), Regen at A-C | YSI at A-C","Y (n=2, 11/21/2023) ",N,N,,
"Fall Offloads, Year 2 Regen",2023,2/9/2023,Brewers Bay,"A, B, C","AND, LU, KH | AJH JS","Offloads at A-C (no YSI), Regen at A-C | YSI at A-C",N,N,N,,
"Fall Offloads, Year 2 Regen",2023,2/9/2023,Compass Point,"A, B, C","AND, LU, KH | AND, AJH, JS, LU","Offloads at A-B (no YSI) | Regen at A-C, YSI at A-C","Y (n=2, 11/23/2022)",N,N,,
"Fall Offloads, Year 2 Regen",2023,2/15/2023,Salt River,"A, B, C","AND, KWG, LU, LP, KH","Offloads at A-C (YSI included), Regen at A-C",N,N,N,,
"Fall Offloads, Year 2 Regen",2023,2/16/2023,Great Pond,"A, B, C","AND, LU, LP, KH","Offloads at A-C (YSI included), Regen at A-C",N,N,N,,
"Fall Offloads, Year 2 Regen",2023,2/16/2023,Krause Lagoon,"A, B, C","AND, LU, LP, KH","Offloads at A-C (YSI included), Regen at A-C",N,N,N,,
"Fall Offloads, Year 2 Regen",2023,2/17/2023,SouthGate,"A, B, C","AND, LU, LP, KH","Offloads at A-C (YSI included), Regen at A-C",N,N,N,,
"Fall Offloads, Year 2 Regen",2023,2/21/2023,Princess Bay,"A, B, C","AND, LU, MM, KH, KA","Offloads at A-C (YSI included), Regen at A-C",N,N,N,,
"Fall Offloads, Year 2 Regen",2023,2/21/2023,Lameshur Bay,"A, B, C","AND, LU, MM, KH, KA","Offloads at A-C (YSI included), Regen at A-C",N,N,N,,
Winter/ Spring Offloads 2022-2023,2023,2/21/2023,Princess Bay,"A, B, C","AND, KH, LU, MM, KA",Offloads at A-C,,,,,
Winter/ Spring Offloads 2022-2023,2023,2/21/2023,Lameshur Bay,"A, B, C","LU, KH, AND, KA, MM",Offloads at A-C,,,,,
"Fall Offloads, Year 2 Regen",2023,2/22/2023,Turner Bay,"A, B, C","AND, AJH, KH, LU, KA","Offloads at A-C (YSI included), Regen at A-C",N,N,N,"YSI forgotten 2/22/23, so sample taken 2/23/23",
"Fall Offloads, Year 2 Regen",2023,2/22/2023,Francis Bay,"A, B, C","AND, AJH, KH, LU, KA","Offloads at A-C (YSI included), Regen at A-C",N,N,N,"YSI forgotten 2/22/23, so sample taken 2/23/23",
"Fall Offloads, Year 2 Regen",2023,2/22/2023,Mary Creek,"A, B, C","AND, AJH, KH, LU, KA","Offloads at A-C (YSI included), Regen at A-C",N,N,N,"YSI forgotten 2/22/23, so sample taken 2/23/23",
Winter/ Spring Offloads 2022-2023,2023,2/22/2023,Turner Bay,"A, B, C","AJH, AND, KH, LU, KA",Offloads at A-C,,,,,
Winter/ Spring Offloads 2022-2023,2023,2/22/2023,Francis Bay,"A, B, C","AJH, AND, KH, LU, KA",Offloads at A-C,,,,,
